??,??,??,???,???,??,??,???(?),????(?),???
11/21/2018,7786.78,7908.47,28.95,0.37%,7776.56,7919.07,101484944,9119500,-
11/20/2018,8031.36,7879.52,-229.32,-2.83%,7870.41,8054.25,124678192,11544661,-
11/19/2018,8050.55,8108.85,46.56,0.58%,8014.57,8108.85,127324240,11455336,-
11/16/2018,8003.47,8062.29,60.2,0.75%,7959.14,8116.73,137745760,12837265,-
11/15/2018,7889.92,8002.1,93.55,1.18%,7884.34,8002.1,115296096,10047692,-
11/14/2018,7942.08,7908.55,-55.11,-0.69%,7894.21,7990.44,127628176,10384948,-
11/13/2018,7733.11,7963.66,131.37,1.68%,7718.68,8008.11,155996112,12835430,-
11/12/2018,7634.82,7832.29,183.74,2.40%,7622.47,7832.82,107253144,9473923,-
11/9/2018,7650.17,7648.55,-49.47,-0.64%,7626.17,7705.26,82840872,7313514.5,-
11/8/2018,7813.63,7698.02,-54.02,-0.70%,7692.34,7823.6,84506208,7790908,-
11/7/2018,7783.13,7752.04,-39.2,-0.50%,7745.39,7871.17,96677488,9268670,-
11/6/2018,7807.08,7791.25,-47.83,-0.61%,7701.51,7807.08,88632496,8298055.5,-
11/5/2018,7831.83,7839.08,-28.46,-0.36%,7733.14,7895.54,113076872,11090544,-
11/2/2018,7763.49,7867.54,299.74,3.96%,7709.44,7867.54,130481688,13564987,-
11/1/2018,7568.2,7567.8,84.97,1.14%,7558.4,7689.57,113544912,11028007,-
10/31/2018,7385.98,7482.83,107.6,1.46%,7373.75,7526.6,88216912,8187244.5,-
10/30/2018,7271.96,7375.23,52.99,0.72%,7189.35,7451.66,94668912,8906675,-
10/29/2018,7449.64,7322.24,-182.48,-2.43%,7290.82,7450.38,74286336,7447579,-
10/26/2018,7582.77,7504.72,-24.69,-0.33%,7476.13,7621.38,87348984,7839732.5,-
10/25/2018,7334.52,7529.41,-15.7,-0.21%,7305.77,7543.1,89815912,8131366,-
10/24/2018,7531.6,7545.11,-29.88,-0.39%,7484.63,7653.24,84726296,8103051.5,-
10/23/2018,7752.18,7574.99,-173.83,-2.24%,7523.07,7769.52,101597376,9946107,-
10/22/2018,7464.92,7748.82,361.08,4.89%,7464.92,7816.82,126471104,12470118,-
10/19/2018,7097.04,7387.74,200.25,2.79%,7084.44,7390.92,90794080,8649842,-
10/18/2018,7309,7187.49,-177.72,-2.41%,7182.39,7316.19,74190288,6537269,-
10/17/2018,7390.69,7365.21,66.23,0.91%,7206.34,7419.21,81159912,7248287.5,-
10/16/2018,7444.94,7298.98,-145.5,-1.95%,7263.29,7493.15,72989944,6559820,-
10/15/2018,7571.71,7444.48,-113.8,-1.51%,7430.96,7622.03,72557008,6789898,-
10/12/2018,7484.86,7558.28,34.19,0.45%,7331.81,7595.93,98494352,8747442,-
10/11/2018,7753.03,7524.09,-486.6,-6.07%,7481.9,7803.29,112008120,10043731,-
10/10/2018,8062.46,8010.69,-35.7,-0.44%,7952.13,8090.22,61492300,6396646,-
10/9/2018,8083.23,8046.39,-14.44,-0.18%,8013.19,8132.15,59055564,6305616,-
10/8/2018,8225.84,8060.83,-340.26,-4.05%,8055.98,8249.39,77444208,8167115,-
9/28/2018,8351.63,8401.09,66.34,0.80%,8317.48,8405.99,68092496,7218525,-
9/27/2018,8411.18,8334.75,-85.79,-1.02%,8331.78,8434.87,78037144,7869970,-
9/26/2018,8369.52,8420.54,67.16,0.80%,8344.72,8485.68,83259912,8814612,-
9/25/2018,8336.75,8353.38,-55.8,-0.66%,8311.93,8390.65,63992308,6777528,-
9/21/2018,8258.02,8409.18,175.29,2.13%,8216.68,8419.47,87938536,9146135,-
9/20/2018,8241.7,8233.89,-14.23,-0.17%,8218.38,8295.13,70923088,6965057,-
9/19/2018,8111.24,8248.12,114.9,1.41%,8097.23,8313.62,88981904,9534385,-
9/18/2018,7970.45,8133.22,133.87,1.67%,7958.52,8133.9,71208776,7321350,-
9/17/2018,8068.06,7999.35,-114.53,-1.41%,7977.44,8074.79,63637168,6069869,-
9/14/2018,8173.56,8113.88,-49.88,-0.61%,8090.4,8180.7,73532040,7537740,-
9/13/2018,8196.21,8163.76,52.6,0.65%,8038.12,8227.2,74034952,8116493.5,-
9/12/2018,8162.17,8111.16,-56.94,-0.70%,8095.01,8196.86,57280568,6628847,-
9/11/2018,8155.95,8168.1,9.61,0.12%,8112,8216.62,61870348,6499493.5,-
9/10/2018,8310.46,8158.49,-163.87,-1.97%,8155.35,8311.92,71019392,7659191.5,-
